RefDes     X          Y          Rot.       Exact     (FREE)    Side
C24O       10139.0202 9779.0128  180        EXACT     (FREE)    Bottom                        
C24P       10139.0202 8779.0128  180        EXACT     (FREE)    Bottom                        
C24Q       10139.0202 7779.0128  180        EXACT     (FREE)    Bottom                        
C24R       10139.0202 6779.0128  180        EXACT     (FREE)    Bottom                        
C24S       10139.0202 5779.0128  180        EXACT     (FREE)    Bottom                        
C24T       10139.0202 4779.0128  180        EXACT     (FREE)    Bottom                        
C24U       10139.0202 3779.0128  180        EXACT     (FREE)    Bottom                        
C24V       10139.0202 2779.0128  180        EXACT     (FREE)    Bottom                        
C24W       10139.0202 1779.0128  180        EXACT     (FREE)    Bottom                        
C24X       10139.0202 779.0128   180        EXACT     (FREE)    Bottom                        
C25        2380.0000  3970.0000  000        EXACT     (FREE)    Bottom                        
C25A       2010.9798  470.9872   180        EXACT     (FREE)    Bottom                        
C25B       2010.9798  1470.9872  180        EXACT     (FREE)    Bottom                        
C25C       2010.9798  2470.9872  180        EXACT     (FREE)    Bottom                        
C25D       2010.9798  3470.9872  180        EXACT     (FREE)    Bottom                        
C25E       2010.9798  4470.9872  180        EXACT     (FREE)    Bottom                        
C25F       2010.9798  5470.9872  180        EXACT     (FREE)    Bottom                        
C25G       2010.9798  6470.9872  180        EXACT     (FREE)    Bottom                        
C25H       2010.9798  7470.9872  180        EXACT     (FREE)    Bottom                        
C25I       2010.9798  8470.9872  180        EXACT     (FREE)    Bottom                        
C25J       2010.9798  9470.9872  180        EXACT     (FREE)    Bottom                        
C25K       2010.9798  10470.9872 180        EXACT     (FREE)    Bottom                        
C25L       2010.9798  11470.9872 180        EXACT     (FREE)    Bottom                        
C25M       9989.0202  11779.0128 000        EXACT     (FREE)    Bottom                        
C25N       9989.0202  10779.0128 000        EXACT     (FREE)    Bottom                        
C25O       9989.0202  9779.0128  000        EXACT     (FREE)    Bottom                        
C25P       9989.0202  8779.0128  000        EXACT     (FREE)    Bottom                        
C25Q       9989.0202  7779.0128  000        EXACT     (FREE)    Bottom                        
C25R       9989.0202  6779.0128  000        EXACT     (FREE)    Bottom                        
C25S       9989.0202  5779.0128  000        EXACT     (FREE)    Bottom                        
C25T       9989.0202  4779.0128  000        EXACT     (FREE)    Bottom                        
C25U       9989.0202  3779.0128  000        EXACT     (FREE)    Bottom                        
C25V       9989.0202  2779.0128  000        EXACT     (FREE)    Bottom                        
C25W       9989.0202  1779.0128  000        EXACT     (FREE)    Bottom                        
C25X       9989.0202  779.0128   000        EXACT     (FREE)    Bottom                        
C26        1835.9100  3612.6000  270        EXACT     (FREE)    Top                           
C26A       1995.9798  195.9872   180        EXACT     (FREE)    Bottom                        
C26B       1995.9798  1195.9872  180        EXACT     (FREE)    Bottom                        
C26C       1995.9798  2195.9872  180        EXACT     (FREE)    Bottom                        
C26D       1995.9798  3195.9872  180        EXACT     (FREE)    Bottom                        
C26E       1995.9798  4195.9872  180        EXACT     (FREE)    Bottom                        
C26F       1995.9798  5195.9872  180        EXACT     (FREE)    Bottom                        
C26G       1995.9798  6195.9872  180        EXACT     (FREE)    Bottom                        
C26H       1995.9798  7195.9872  180        EXACT     (FREE)    Bottom                        
C26I       1995.9798  8195.9872  180        EXACT     (FREE)    Bottom                        
C26J       1995.9798  9195.9872  180        EXACT     (FREE)    Bottom                        
C26K       1995.9798  10195.9872 180        EXACT     (FREE)    Bottom                        
C26L       1995.9798  11195.9872 180        EXACT     (FREE)    Bottom                        
C26M       10004.0202 12054.0128 000        EXACT     (FREE)    Bottom                        
C26N       10004.0202 11054.0128 000        EXACT     (FREE)    Bottom                        
C26O       10004.0202 10054.0128 000        EXACT     (FREE)    Bottom                        
C26P       10004.0202 9054.0128  000        EXACT     (FREE)    Bottom                        
C26Q       10004.0202 8054.0128  000        EXACT     (FREE)    Bottom                        
C26R       10004.0202 7054.0128  000        EXACT     (FREE)    Bottom                        
C26S       10004.0202 6054.0128  000        EXACT     (FREE)    Bottom                        
C26T       10004.0202 5054.0128  000        EXACT     (FREE)    Bottom                        
C26U       10004.0202 4054.0128  000        EXACT     (FREE)    Bottom                        
C26V       10004.0202 3054.0128  000        EXACT     (FREE)    Bottom                        
C26W       10004.0202 2054.0128  000        EXACT     (FREE)    Bottom                        
C26X       10004.0202 1054.0128  000        EXACT     (FREE)    Bottom                        
C27        2042.0656  3601.9344  000        EXACT     (FREE)    Top                           
C27A       2050.9798  255.9872   180        EXACT     (FREE)    Bottom                        
C27B       2050.9798  1255.9872  180        EXACT     (FREE)    Bottom                        
C27C       2050.9798  2255.9872  180        EXACT     (FREE)    Bottom                        
C27D       2050.9798  3255.9872  180        EXACT     (FREE)    Bottom                        
C27E       2050.9798  4255.9872  180        EXACT     (FREE)    Bottom                        
C27F       2050.9798  5255.9872  180        EXACT     (FREE)    Bottom                        
C27G       2050.9798  6255.9872  180        EXACT     (FREE)    Bottom                        
C27H       2050.9798  7255.9872  180        EXACT     (FREE)    Bottom                        
C27I       2050.9798  8255.9872  180        EXACT     (FREE)    Bottom                        
C27J       2050.9798  9255.9872  180        EXACT     (FREE)    Bottom                        
C27K       2050.9798  10255.9872 180        EXACT     (FREE)    Bottom                        
C27L       2050.9798  11255.9872 180        EXACT     (FREE)    Bottom                        
C27M       9949.0202  11994.0128 000        EXACT     (FREE)    Bottom                        
C27N       9949.0202  10994.0128 000        EXACT     (FREE)    Bottom                        
C27O       9949.0202  9994.0128  000        EXACT     (FREE)    Bottom                        
C27P       9949.0202  8994.0128  000        EXACT     (FREE)    Bottom                        
C27Q       9949.0202  7994.0128  000        EXACT     (FREE)    Bottom                        
C27R       9949.0202  6994.0128  000        EXACT     (FREE)    Bottom                        
C27S       9949.0202  5994.0128  000        EXACT     (FREE)    Bottom                        
C27T       9949.0202  4994.0128  000        EXACT     (FREE)    Bottom                        
C27U       9949.0202  3994.0128  000        EXACT     (FREE)    Bottom                        
C27V       9949.0202  2994.0128  000        EXACT     (FREE)    Bottom                        
C27W       9949.0202  1994.0128  000        EXACT     (FREE)    Bottom                        
C27X       9949.0202  994.0128   000        EXACT     (FREE)    Bottom                        
C28        2040.0000  3715.0000  000        EXACT     (FREE)    Top                           
C29        2184.0000  3895.0000  135        EXACT     (FREE)    Top                           
C30        1220.0000  3150.0000  090        EXACT     (FREE)    Top                           
C31        2210.0000  3921.0000  135        EXACT     (FREE)    Top                           
C32        1035.0000  3130.0000  180        EXACT     (FREE)    Top                           
C33        5920.0000  1695.0000  180        EXACT     (FREE)    Top                           
C34        5860.0000  1570.0000  270        EXACT     (FREE)    Top                           
C35        5860.0000  1450.0000  090        EXACT     (FREE)    Top                           
C36        5860.0000  1380.0000  270        EXACT     (FREE)    Top                           
C37        5930.0000  1260.0000  180        EXACT     (FREE)    Top                           
C38        6180.0000  1130.0000  270        EXACT     (FREE)    Top                           
C39        6040.0000  1710.0000  090        EXACT     (FREE)    Top                           
C40        6100.0000  1570.0000  270        EXACT     (FREE)    Top                           
C41        6100.0000  1455.0000  090        EXACT     (FREE)    Top                           
C42        6100.0000  1380.0000  270        EXACT     (FREE)    Top                           
C43        6135.0000  1380.0000  090        EXACT     (FREE)    Top                           
C44        6050.0000  1770.0000  180        EXACT     (FREE)    Top                           
C45        6075.0000  1710.0000  270        EXACT     (FREE)    Top                           
C46        5965.0000  1225.0000  000        EXACT     (FREE)    Top                           
C47        6055.0000  1260.0000  000        EXACT     (FREE)    Top                           
C48        6250.0000  1860.0000  090        EXACT     (FREE)    Top                           
C49        6160.0000  1860.0000  270        EXACT     (FREE)    Top                           
C50        6340.0000  2015.0000  000        EXACT     (FREE)    Top                           
C51        6340.0000  1980.0000  000        EXACT     (FREE)    Top                           
C52        6015.0000  1900.0000  180        EXACT     (FREE)    Top                           
C53        6015.0000  1940.0000  180        EXACT     (FREE)    Top                           
C54        5945.0000  1980.0000  180        EXACT     (FREE)    Top                           
C55        6340.0000  2130.0000  000        EXACT     (FREE)    Top                           
C56        6340.0000  2170.0000  000        EXACT     (FREE)    Top                           
C57        6159.0000  2231.0000  270        EXACT     (FREE)    Top                           
C58        6235.0000  2210.0000  090        EXACT     (FREE)    Top                           
C59        6290.0000  1910.0000  270        EXACT     (FREE)    Top                           
C60        6340.0000  1945.0000  000        EXACT     (FREE)    Top                           
C61        6098.0000  2210.0000  090        EXACT     (FREE)    Top                           
C62        6040.0000  2200.0000  000        EXACT     (FREE)    Bottom                        
C63        6195.0000  2210.0000  090        EXACT     (FREE)    Top                           
C64        6150.0000  2145.0000  000        EXACT     (FREE)    Bottom                        
C65        6086.0000  1911.0000  180        EXACT     (FREE)    Top                           
C66        6086.0000  1911.0000  000        EXACT     (FREE)    Bottom                        
C67        6340.0000  2090.0000  000        EXACT     (FREE)    Top                           
C68        6340.0000  2050.0000  000        EXACT     (FREE)    Top                           
C69        6000.0000  2020.0000  180        EXACT     (FREE)    Top                           
C70        6000.0000  2021.0000  000        EXACT     (FREE)    Bottom                        
C71        6070.0000  1860.0000  270        EXACT     (FREE)    Top                           
C72        6150.0000  1690.0000  000        EXACT     (FREE)    Bottom                        
C73        6190.0000  1300.0000  180        EXACT     (FREE)    Bottom                        
C74        6270.0000  1620.0000  270        EXACT     (FREE)    Top                           
C75        6270.0000  1340.0000  270        EXACT     (FREE)    Top                           
C76        6370.0000  1470.0000  270        EXACT     (FREE)    Top                           
C77        380.0000   2280.0000  000        EXACT     (FREE)    Top                           
C78        255.0000   2365.0000  090        EXACT     (FREE)    Top                           
C79        650.0000   2270.0000  000        EXACT     (FREE)    Top                           
C80        650.0000   2085.0000  270        EXACT     (FREE)    Top                           
C81        590.0000   2170.0000  090        EXACT     (FREE)    Bottom                        
C82        313.0000   2130.0000  180        EXACT     (FREE)    Top                           
C83        1821.2554  412.7983   090        EXACT     (FREE)    Top                           
C84        1459.0506  381.3022   090        EXACT     (FREE)    Top                           
C85        1411.8065  389.1762   090        EXACT     (FREE)    Top                           
C86        1770.0743  424.6093   090        EXACT     (FREE)    Top                           
C87        1220.0000  4150.0000  090        EXACT     (FREE)    Top                           
C88        1035.0000  4130.0000  180        EXACT     (FREE)    Top                           
C89        1220.0000  5150.0000  090        EXACT     (FREE)    Top                           
C90        1035.0000  5130.0000  180        EXACT     (FREE)    Top                           
C91        1220.0000  6150.0000  090        EXACT     (FREE)    Top                           
C92        1035.0000  6130.0000  180        EXACT     (FREE)    Top                           
C93        1220.0000  7150.0000  090        EXACT     (FREE)    Top                           
C94        1821.2554  1412.7983  090        EXACT     (FREE)    Top                           
C95        1459.0506  1381.3022  090        EXACT     (FREE)    Top                           
C96        1411.8065  1389.1762  090        EXACT     (FREE)    Top                           
C97        1770.0743  1424.6093  090        EXACT     (FREE)    Top                           
C98        4210.0000  7120.0000  180        EXACT     (FREE)    Top                           
C99        4210.0000  7160.0000  180        EXACT     (FREE)    Top                           
C100       5964.0000  10143.0000 000        EXACT     (FREE)    Bottom                        
C101       465.0000   3390.0000  000        EXACT     (FREE)    Top                           
C102       6140.0000  1130.0000  090        EXACT     (FREE)    Top                           
C103       6140.0000  660.0000   270        EXACT     (FREE)    Top                           
C104       6020.0000  1040.0000  000        EXACT     (FREE)    Top                           
C105       6020.0000  1000.0000  000        EXACT     (FREE)    Top                           
C106       1035.0000  7130.0000  180        EXACT     (FREE)    Top                           
C107       570.0000   1420.0000  180        EXACT     (FREE)    Top                           
C108       570.0000   5420.0000  180        EXACT     (FREE)    Top                           
C109       1821.2554  2412.7983  090        EXACT     (FREE)    Top                           
C110       1459.0506  2381.3022  090        EXACT     (FREE)    Top                           
C111       1411.8065  2389.1762  090        EXACT     (FREE)    Top                           
C112       1770.0743  2424.6093  090        EXACT     (FREE)    Top                           
C113       2450.0000  1460.0000  000        EXACT     (FREE)    Bottom                        
C114       2450.4100  2460.0000  000        EXACT     (FREE)    Bottom                        
C115       2450.0000  3460.0000  000        EXACT     (FREE)    Bottom                        
C116       1821.2554  3412.7983  090        EXACT     (FREE)    Top                           
C117       1459.0506  3381.3022  090        EXACT     (FREE)    Top                           
C118       1411.8065  3389.1762  090        EXACT     (FREE)    Top                           
C119       1770.0743  3424.6093  090        EXACT     (FREE)    Top                           
C120       2450.0000  4460.0000  000        EXACT     (FREE)    Bottom                        
C121       465.0000   7390.0000  000        EXACT     (FREE)    Top                           
C122       2385.0000  4970.0000  000        EXACT     (FREE)    Bottom                        
C123       1835.9100  4612.6000  270        EXACT     (FREE)    Top                           
C124       2042.0656  4601.9344  000        EXACT     (FREE)    Top                           
C125       2040.0000  4715.0000  000        EXACT     (FREE)    Top                           
C126       2184.0000  4895.0000  135        EXACT     (FREE)    Top                           
C127       2450.0000  5460.0000  000        EXACT     (FREE)    Bottom                        
C128       2210.0000  4921.0000  135        EXACT     (FREE)    Top                           
C129       2450.4100  6460.0000  000        EXACT     (FREE)    Bottom                        
C130       2450.0000  7460.0000  000        EXACT     (FREE)    Bottom                        
C131       465.0000   11390.0000 000        EXACT     (FREE)    Top                           
C132       570.0000   9420.0000  180        EXACT     (FREE)    Top                           
C133       1821.2554  4412.7983  090        EXACT     (FREE)    Top                           
C134       1459.0506  4381.3022  090        EXACT     (FREE)    Top                           
C135       1411.8065  4389.1762  090        EXACT     (FREE)    Top                           
C136       1770.0743  4424.6093  090        EXACT     (FREE)    Top                           
C137       2380.0000  5970.0000  000        EXACT     (FREE)    Bottom                        
C138       1835.9100  5612.6000  270        EXACT     (FREE)    Top                           
C139       2042.0656  5601.9344  000        EXACT     (FREE)    Top                           
C140       2040.0000  5715.0000  000        EXACT     (FREE)    Top                           
C141       2184.0000  5895.0000  135        EXACT     (FREE)    Top                           
C142       2210.0000  5921.0000  135        EXACT     (FREE)    Top                           
C143       2385.0000  8970.0000  000        EXACT     (FREE)    Bottom                        
C144       1835.9100  8612.6000  270        EXACT     (FREE)    Top                           
C145       2042.0656  8601.9344  000        EXACT     (FREE)    Top                           
C146       2040.0000  8715.0000  000        EXACT     (FREE)    Top                           
C147       1821.2554  5412.7983  090        EXACT     (FREE)    Top                           
C148       1459.0506  5381.3022  090        EXACT     (FREE)    Top                           
C149       1411.8065  5389.1762  090        EXACT     (FREE)    Top                           
C150       1770.0743  5424.6093  090        EXACT     (FREE)    Top                           
C151       2380.0000  6970.0000  000        EXACT     (FREE)    Bottom                        
C152       1835.9100  6612.6000  270        EXACT     (FREE)    Top                           
C153       2042.0656  6601.9344  000        EXACT     (FREE)    Top                           
C154       2040.0000  6715.0000  000        EXACT     (FREE)    Top                           
C155       2184.0000  6895.0000  135        EXACT     (FREE)    Top                           
C156       2184.0000  8895.0000  135        EXACT     (FREE)    Top                           
C157       2210.0000  6921.0000  135        EXACT     (FREE)    Top                           
C158       2210.0000  8921.0000  135        EXACT     (FREE)    Top                           
C159       2450.0000  8460.0000  000        EXACT     (FREE)    Bottom                        
C160       1821.2554  6412.7983  090        EXACT     (FREE)    Top                           
C161       1459.0506  6381.3022  090        EXACT     (FREE)    Top                           
C162       1411.8065  6389.1762  090        EXACT     (FREE)    Top                           
C163       1770.0743  6424.6093  090        EXACT     (FREE)    Top                           
C164       2380.0000  7970.0000  000        EXACT     (FREE)    Bottom                        
C165       1835.9100  7612.6000  270        EXACT     (FREE)    Top                           
C166       2042.0656  7601.9344  000        EXACT     (FREE)    Top                           
C167       2040.0000  7715.0000  000        EXACT     (FREE)    Top                           
C168       2184.0000  7895.0000  135        EXACT     (FREE)    Top                           
C169       2210.0000  7921.0000  135        EXACT     (FREE)    Top                           
C170       1821.2554  7412.7983  090        EXACT     (FREE)    Top                           
C171       1459.0506  7381.3022  090        EXACT     (FREE)    Top                           
C172       1411.8065  7389.1762  090        EXACT     (FREE)    Top                           
C173       1770.0743  7424.6093  090        EXACT     (FREE)    Top                           
C174       380.0000   6280.0000  000        EXACT     (FREE)    Top                           
C175       255.0000   6365.0000  090        EXACT     (FREE)    Top                           
C176       650.0000   6270.0000  000        EXACT     (FREE)    Top                           
C177       650.0000   6085.0000  270        EXACT     (FREE)    Top                           
C178       590.0000   6170.0000  090        EXACT     (FREE)    Bottom                        
C179       313.0000   6130.0000  180        EXACT     (FREE)    Top                           
C180       2450.0000  460.0000   000        EXACT     (FREE)    Bottom                        
C181       1821.2554  8412.7983  090        EXACT     (FREE)    Top                           
C182       1220.0000  8150.0000  090        EXACT     (FREE)    Top                           
C183       1411.8065  8389.1762  090        EXACT     (FREE)    Top                           
C184       1459.0506  8381.3022  090        EXACT     (FREE)    Top                           
C185       1770.0743  8424.6093  090        EXACT     (FREE)    Top                           
C186       1035.0000  8130.0000  180        EXACT     (FREE)    Top                           
C187       2380.0000  9970.0000  000        EXACT     (FREE)    Bottom                        
C188       1835.9100  9612.6000  270        EXACT     (FREE)    Top                           
C189       2042.0656  9601.9344  000        EXACT     (FREE)    Top                           
C190       2040.0000  9715.0000  000        EXACT     (FREE)    Top                           
C191       2184.0000  9895.0000  135        EXACT     (FREE)    Top                           
C192       2210.0000  9921.0000  135        EXACT     (FREE)    Top                           
C193       2450.0000  9460.0000  000        EXACT     (FREE)    Bottom                        
C194       1821.2554  9412.7983  090        EXACT     (FREE)    Top                           
C195       1220.0000  9150.0000  090        EXACT     (FREE)    Top                           
C196       1411.8065  9389.1762  090        EXACT     (FREE)    Top                           
C197       1459.0506  9381.3022  090        EXACT     (FREE)    Top                           
C198       1770.0743  9424.6093  090        EXACT     (FREE)    Top                           
C199       1035.0000  9130.0000  180        EXACT     (FREE)    Top                           
C200       2380.0000  10970.0000 000        EXACT     (FREE)    Bottom                        
C201       1835.9100  10612.6000 270        EXACT     (FREE)    Top                           
C202       2042.0656  10601.9344 000        EXACT     (FREE)    Top                           
C203       2040.0000  10715.0000 000        EXACT     (FREE)    Top                           
C204       2184.0000  10895.0000 135        EXACT     (FREE)    Top                           
C205       2210.0000  10921.0000 135        EXACT     (FREE)    Top                           
C206       2450.4100  10460.0000 000        EXACT     (FREE)    Bottom                        
C207       1821.2554  10412.7983 090        EXACT     (FREE)    Top                           
C208       1220.0000  10150.0000 090        EXACT     (FREE)    Top                           
C209       1411.8065  10389.1762 090        EXACT     (FREE)    Top                           
C210       1459.0506  10381.3022 090        EXACT     (FREE)    Top                           
C211       1770.0743  10424.6093 090        EXACT     (FREE)    Top                           
C212       1035.0000  10130.0000 180        EXACT     (FREE)    Top                           
C213       2380.0000  11970.0000 000        EXACT     (FREE)    Bottom                        
C214       1835.9100  11612.6000 270        EXACT     (FREE)    Top                           
C215       2042.0656  11601.9344 000        EXACT     (FREE)    Top                           
C216       2040.0000  11715.0000 000        EXACT     (FREE)    Top                           
C217       2184.0000  11895.0000 135        EXACT     (FREE)    Top                           
C218       2210.0000  11921.0000 135        EXACT     (FREE)    Top                           
C219       2450.0000  11460.0000 000        EXACT     (FREE)    Bottom                        
C220       1821.2554  11412.7983 090        EXACT     (FREE)    Top                           
C221       1220.0000  11150.0000 090        EXACT     (FREE)    Top                           
C222       1411.8065  11389.1762 090        EXACT     (FREE)    Top                           
C223       1459.0506  11381.3022 090        EXACT     (FREE)    Top                           
C224       1770.0743  11424.6093 090        EXACT     (FREE)    Top                           
C225       1035.0000  11130.0000 180        EXACT     (FREE)    Top                           
C226       380.0000   10280.0000 000        EXACT     (FREE)    Top                           
C227       255.0000   10365.0000 090        EXACT     (FREE)    Top                           
C228       650.0000   10270.0000 000        EXACT     (FREE)    Top                           
C229       650.0000   10085.0000 270        EXACT     (FREE)    Top                           
C230       580.0000   10160.0000 090        EXACT     (FREE)    Bottom                        
C231       313.0000   10130.0000 180        EXACT     (FREE)    Top                           
C232       4590.0000  11100.0000 270        EXACT     (FREE)    Top                           
C233       4710.0000  10860.0000 180        EXACT     (FREE)    Top                           
C234       4710.0000  11160.0000 180        EXACT     (FREE)    Top                           
C235       4710.0000  10930.0000 180        EXACT     (FREE)    Top                           
C236       4990.0000  11050.0000 270        EXACT     (FREE)    Top                           
C237       4910.0000  11050.0000 090        EXACT     (FREE)    Top                           
C238       4870.0000  11050.0000 090        EXACT     (FREE)    Top                           
C239       4070.0000  10920.0000 270        EXACT     (FREE)    Top                           
C240       4070.0000  11150.0000 090        EXACT     (FREE)    Top                           
C241       4710.0000  11230.0000 180        EXACT     (FREE)    Top                           
C242       4590.0000  11920.0000 270        EXACT     (FREE)    Top                           
C243       4715.0000  12050.0000 180        EXACT     (FREE)    Top                           
C244       4715.0000  11980.0000 180        EXACT     (FREE)    Top                           
C245       4710.0000  11750.0000 180        EXACT     (FREE)    Top                           
C246       4990.0000  11870.0000 270        EXACT     (FREE)    Top                           
C247       4910.0000  11870.0000 090        EXACT     (FREE)    Top                           
C248       4870.0000  11870.0000 090        EXACT     (FREE)    Top                           
C249       4070.0000  11740.0000 270        EXACT     (FREE)    Top                           
C250       4070.0000  11970.0000 090        EXACT     (FREE)    Top                           
C251       4710.0000  11680.0000 180        EXACT     (FREE)    Top                           
C252       7010.0000  11165.0000 180        EXACT     (FREE)    Top                           
C253       7450.0000  11055.0000 270        EXACT     (FREE)    Top                           
C254       7010.0000  11005.0000 180        EXACT     (FREE)    Top                           
C255       7040.0000  11045.0000 180        EXACT     (FREE)    Top                           
C256       7330.0000  11265.0000 180        EXACT     (FREE)    Top                           
C257       7330.0000  11195.0000 180        EXACT     (FREE)    Top                           
C258       7940.0000  11165.0000 090        EXACT     (FREE)    Top                           
C259       7940.0000  10925.0000 270        EXACT     (FREE)    Top                           
C260       7010.0000  11965.0000 180        EXACT     (FREE)    Top                           
C261       7450.0000  11855.0000 270        EXACT     (FREE)    Top                           
C262       7010.0000  11805.0000 180        EXACT     (FREE)    Top                           
C263       7040.0000  11845.0000 180        EXACT     (FREE)    Top                           
C264       7330.0000  12065.0000 180        EXACT     (FREE)    Top                           
C265       7330.0000  11995.0000 180        EXACT     (FREE)    Top                           
C266       7940.0000  11965.0000 090        EXACT     (FREE)    Top                           
C267       7940.0000  11725.0000 270        EXACT     (FREE)    Top                           
C268       6960.0000  10500.0000 000        EXACT     (FREE)    Top                           
C269       6960.0000  10290.0000 000        EXACT     (FREE)    Top                           
C270       5101.6535  10247.3228 000        EXACT     (FREE)    Top                           
C271       5184.3307  10389.0551 270        EXACT     (FREE)    Top                           
C272       5100.0000  10500.0000 090        EXACT     (FREE)    Top                           
C273       4180.0000  7505.0000  180        EXACT     (FREE)    Top                           
C274       4734.0000  6185.0000  270        EXACT     (FREE)    Bottom                        
C275       4737.0000  6338.0000  090        EXACT     (FREE)    Bottom                        
C276       4764.0000  6185.0000  270        EXACT     (FREE)    Bottom                        
C277       4765.0000  6338.0000  090        EXACT     (FREE)    Bottom                        
C278       4704.0000  6277.0000  180        EXACT     (FREE)    Bottom                        
C279       4800.0000  6277.0000  000        EXACT     (FREE)    Bottom                        
C280       4799.0000  6245.0000  000        EXACT     (FREE)    Bottom                        
C281       4703.0000  6244.0000  180        EXACT     (FREE)    Bottom                        
C282       4498.0000  6055.0000  090        EXACT     (FREE)    Bottom                        
C283       5023.0000  6037.0000  180        EXACT     (FREE)    Bottom                        
C284       4877.0000  6166.0000  000        EXACT     (FREE)    Bottom                        
C285       4892.0000  6116.0000  180        EXACT     (FREE)    Bottom                        
C286       4641.0000  6147.0000  180        EXACT     (FREE)    Bottom                        
C287       4674.0000  6179.0000  000        EXACT     (FREE)    Bottom                        
C288       4829.0000  6340.0000  180        EXACT     (FREE)    Bottom                        
C289       4830.0000  6211.0000  180        EXACT     (FREE)    Bottom                        
C290       4704.0000  6305.0000  180        EXACT     (FREE)    Bottom                        
C291       4671.0000  6409.0000  270        EXACT     (FREE)    Bottom                        
C292       5030.0000  6545.0000  180        EXACT     (FREE)    Bottom                        
C293       4545.0000  6515.0000  225        EXACT     (FREE)    Bottom                        
C294       4857.0000  6402.0000  270        EXACT     (FREE)    Bottom                        
C295       4611.0000  6401.0000  090        EXACT     (FREE)    Bottom                        
C296       4925.0000  6370.0000  090        EXACT     (FREE)    Bottom                        
C297       4611.0000  6086.0000  000        EXACT     (FREE)    Bottom                        
C298       11535.0000 8860.0000  180        EXACT     (FREE)    Top                           
C299       11430.0000 10830.0000 000        EXACT     (FREE)    Top                           
C300       9615.0000  11280.0000 180        EXACT     (FREE)    Bottom                        
C301       10164.0900 11637.4000 090        EXACT     (FREE)    Top                           
C302       9957.9344  11648.0656 180        EXACT     (FREE)    Top                           
C303       9960.0000  11535.0000 180        EXACT     (FREE)    Top                           
C304       9816.0000  11355.0000 315        EXACT     (FREE)    Top                           
C305       9790.0000  11329.0000 315        EXACT     (FREE)    Top                           
C306       9550.0000  11790.0000 180        EXACT     (FREE)    Bottom                        
C307       10178.7446 11837.2017 270        EXACT     (FREE)    Top                           
C308       10780.0000 12100.0000 270        EXACT     (FREE)    Top                           
C309       10588.1935 11860.8238 270        EXACT     (FREE)    Top                           
C310       10540.9494 11868.6978 270        EXACT     (FREE)    Top                           
C311       10229.9257 11825.3907 270        EXACT     (FREE)    Top                           
C312       10965.0000 12120.0000 000        EXACT     (FREE)    Top                           
C313       9620.0000  10280.0000 180        EXACT     (FREE)    Bottom                        
C314       10164.0900 10637.4000 090        EXACT     (FREE)    Top                           
C315       9957.9344  10648.0656 180        EXACT     (FREE)    Top                           
C316       9960.0000  10535.0000 180        EXACT     (FREE)    Top                           
C317       9816.0000  10355.0000 315        EXACT     (FREE)    Top                           
C318       9790.0000  10329.0000 315        EXACT     (FREE)    Top                           
C319       9550.0000  10790.0000 180        EXACT     (FREE)    Bottom                        
C320       10178.7446 10837.2017 270        EXACT     (FREE)    Top                           
C321       10780.0000 11100.0000 270        EXACT     (FREE)    Top                           
C322       10588.1935 10860.8238 270        EXACT     (FREE)    Top                           
C323       10540.9494 10868.6978 270        EXACT     (FREE)    Top                           
C324       10229.9257 10825.3907 270        EXACT     (FREE)    Top                           
C325       10965.0000 11120.0000 000        EXACT     (FREE)    Top                           
C326       9620.0000  9280.0000  180        EXACT     (FREE)    Bottom                        
C327       10164.0900 9637.4000  090        EXACT     (FREE)    Top                           
C328       9957.9344  9648.0656  180        EXACT     (FREE)    Top                           
C329       9960.0000  9535.0000  180        EXACT     (FREE)    Top                           
C330       9816.0000  9355.0000  315        EXACT     (FREE)    Top                           
C331       9790.0000  9329.0000  315        EXACT     (FREE)    Top                           
C332       9549.5900  9790.0000  180        EXACT     (FREE)    Bottom                        
C333       10178.7446 9837.2017  270        EXACT     (FREE)    Top                           
C334       10780.0000 10100.0000 270        EXACT     (FREE)    Top                           
C335       10588.1935 9860.8238  270        EXACT     (FREE)    Top                           
C336       10540.9494 9868.6978  270        EXACT     (FREE)    Top                           
C337       10229.9257 9825.3907  270        EXACT     (FREE)    Top                           
C338       10965.0000 10120.0000 000        EXACT     (FREE)    Top                           
C339       9620.0000  8280.0000  180        EXACT     (FREE)    Bottom                        
C340       10164.0900 8637.4000  090        EXACT     (FREE)    Top                           
C341       9957.9344  8648.0656  180        EXACT     (FREE)    Top                           
C342       9960.0000  8535.0000  180        EXACT     (FREE)    Top                           
C343       9816.0000  8355.0000  315        EXACT     (FREE)    Top                           
C344       9790.0000  8329.0000  315        EXACT     (FREE)    Top                           
C345       9550.0000  8790.0000  180        EXACT     (FREE)    Bottom                        
C346       10178.7446 8837.2017  270        EXACT     (FREE)    Top                           
C347       10780.0000 9100.0000  270        EXACT     (FREE)    Top                           
C348       10588.1935 8860.8238  270        EXACT     (FREE)    Top                           
C349       10540.9494 8868.6978  270        EXACT     (FREE)    Top                           
C350       10229.9257 8825.3907  270        EXACT     (FREE)    Top                           
C351       10965.0000 9120.0000  000        EXACT     (FREE)    Top                           
C352       11620.0000 9970.0000  180        EXACT     (FREE)    Top                           
C353       11725.0000 10055.0000 090        EXACT     (FREE)    Top                           
C354       11350.0000 9980.0000  180        EXACT     (FREE)    Top                           
C355       11350.0000 10165.0000 090        EXACT     (FREE)    Top                           
